Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent_read,disk_usage_percent_write
80640,6,17,3290229002,2957895665,0,81510.4
80700,6,17,3292115671,2960163292,0,143189.3333
80760,5.5,17.16666667,3293913082,2962263096,0,86220.8
80820,6.6,17,3295779172,2964517468,0,112947.2
80880,5.8,17,3297625474,2966716841,0,62122.66667
80940,8.2,17,3299439270,2968919873,0,129536
81000,6.2,17,3301263938,2971139199,0,61781.33333
81060,10.75,17.16666667,3303168370,2973437501,0,71680
81120,5.8,17,3305031083,2975709486,0,113749.3333
81180,7.6,17,3306848815,2977888281,0,121548.8
81240,7,17,3308698292,2980097197,0,64853.33333
81300,7,17,3310545048,2982330349,0,101785.6
81360,8.2,17,3312371276,2984526599,0,70058.66667
81420,8,17,3314280788,2986820554,0,85606.4
81480,5.4,17,3316057202,2988970927,0,64716.8
81540,8.8,17,3317804656,2991025479,0,75264
81600,7,17,3319647832,2993144301,0,83968
81660,8.2,17,3321466473,2995352721,0,76032
81720,7,17,3323321074,2997642375,0,70860.8
81780,7.8,17,3325114743,2999795255,0,54272
81840,5.25,17,3326888017,3001965136,0,129024
81900,12.8,17,3328746792,3004258153,0,71680
81960,7.2,17.16666667,3330592147,3006464204,0,106598.4
82020,9.4,17,3332373142,3008525883,0,60672
82080,5.6,17,3334161498,3010655509,0,89190.4
82140,8,17,3335957330,3012785441,0,94412.8
82200,6,17,3337789239,3014970269,0,98645.33333
82260,11,17.16666667,3339623571,3017159502,0,130252.8
82320,6,17,3341492101,3019369840,0,86101.33333
82380,6.5,17,3343319110,3021526202,0,95948.8
82440,6.6,17,3345086332,3023569901,0,82432
82500,5.8,17,3346994843,3025838890,0,122163.2
82560,8.4,17.16666667,3348812868,3028045260,0,91221.33333
82620,10.25,17,3350639553,3030239652,0,118272
82680,6.2,17,3352429031,3032370622,0,69888
82740,6,17,3354190351,3034489068,0,179302.4
82800,5.75,17,3356040085,3036748684,0,111411.2
82860,8.6,17.16666667,3357884167,3038943743,0,97109.33333
82920,5.8,17,3359731414,3041174288,0,77414.4
82980,6.2,17,3361529250,3043335251,0,68096
83040,6,17,3363339893,3045465743,0,65536
83100,9,17,3365168394,3047698095,0,133802.6667
83160,7.6,17.16666667,3367024838,3049927542,0,108646.4
83220,6.8,17,3368873203,3052133117,0,137984
83280,7.6,17,3370635644,3054233272,0,57139.2
83340,7.25,17,3372394723,3056349978,0,66730.66667
83400,6,17,3374287844,3058619243,0,73420.8
83460,9.2,17.16666667,3376154014,3060899446,0,79872
83520,8.2,17,3377999522,3063157578,0,85248
83580,7,17,3379860328,3065379866,0,71884.8
83640,6.25,17,3381656876,3067517615,0,126464
83700,7.6,17.5,3383506340,3069763805,0,54886.4
83760,6.6,18,3385389969,3072013774,0,89002.66667
83820,6.6,18,3387232718,3074247608,0,54067.2
83880,5.25,18,3389008185,3076434775,0,108800
83940,7.6,18,3390859185,3078669460,0,76390.4
84000,6.4,18,3392712011,3080854467,0,185600
84060,7.8,18,3394554867,3083102382,0,81408
84120,10,18,3396421477,3085324220,0,165171.2
84180,5.75,18,3398269752,3087546940,0,86272
84240,8.6,18,3400082056,3089741514,0,118272
84300,9.6,18,3401997255,3092063876,0,122538.6667
84360,6.6,18,3403809960,3094176842,0,104652.8
84420,6.4,18,3405630486,3096294583,0,77909.33333
84480,7,18,3407492912,3098531154,0,60006.4
84540,8.6,18,3409284310,3100676912,0,81322.66667
84600,7.2,18,3411132885,3102931428,0,48332.8
84660,6.6,18,3412990353,3105180770,0,83797.33333
84720,5.5,18,3414798619,3107353923,0,102604.8
84780,8,18,3416582028,3109487031,0,95436.8
84840,6,18,3418383270,3111535289,0,61269.33333
84900,7.8,18,3420220734,3113728882,0,93696
84960,8.5,18,3422074934,3115931003,0,62208
85020,8,18,3423971278,3118238105,0,146841.6
85080,5.4,18,3425767734,3120360774,0,66133.33333
85140,7.6,18,3427544290,3122480449,0,67993.6
85200,6.75,18,3429394446,3124683210,0,84906.66667
85260,6,18,3431221079,3126814266,0,62361.6
85320,5.8,18,3433073891,3129050577,0,83763.2
85380,7.2,18,3434960347,3131293340,0,67498.66667
85440,5.25,18,3436787155,3133471336,0,91238.4
85500,6,18,3438683038,3135816152,0,60501.33333
85560,7.6,18,3440581609,3138158539,0,77926.4
85620,8,18,3442436930,3140390426,0,117674.6667
85680,10.2,18,3444244913,3142507741,0,131174.4
85740,6.75,18,3446118414,3144745183,0,54613.33333
85800,8.8,18,3448003273,3147018163,0,116940.8
85860,7.2,18,3449857147,3149296294,0,83285.33333
85920,6.4,18,3451730909,3151549529,0,192204.8
85980,5.5,18,3453509599,3153692017,0,112128
86040,7,18,3455278971,3155800558,0,108458.6667
86100,7.4,18,3457124535,3157942456,0,138035.2
86160,5,18,3458971611,3160154761,0,118101.3333
86220,6.6,18,3460811221,3162360757,0,92364.8
86280,6.25,18,3462617809,3164485769,0,55808
86340,6.2,18,3464386357,3166651316,0,74342.4
86400,6.8,18,3466241623,3168894769,0,62549.33333
86460,7.2,18,3468097175,3171108670,0,77209.6
86520,6.5,18,3469882558,3173174076,0,78336
86580,4.6,18,3471704813,3175301862,0,68710.4
86640,6.2,18,3473513773,3177450756,0,55603.2
86700,6,18,3475338942,3179669081,0,130560
86760,5.5,18,3477148405,3181836907,0,78233.6
86820,7.4,18,3479017915,3184044166,0,73301.33333
86880,5.2,18,3480777072,3186148813,0,95641.6
86940,6.75,18,3482530273,3188189595,0,101888
87000,7.25,18,3484425416,3190442335,0,100147.2
87060,7.4,18,3486267102,3192674885,0,52992
87120,7,18,3488148689,3194965557,0,84377.6
87180,8,18,3489958192,3197079580,0,64170.66667
87240,6.8,18,3491737257,3199231624,0,135884.8
87300,7,18,3493588710,3201499822,0,139673.6
87360,5.2,18,3495442295,3203687049,0,80810.66667
87420,6.8,18,3497279371,3205867639,0,63897.6
87480,6,18,3499113694,3208048431,0,138240
87540,4.25,18,3500944858,3210227290,0,68198.4
87600,9.8,18,3502803241,3212489235,0,100949.3333
87660,6.4,18,3504648009,3214758504,0,76288
87720,6.6,18,3506505463,3216997401,0,91306.66667
87780,7.75,18,3508327898,3219163491,0,143462.4
87840,6.4,18,3510150715,3221367109,0,79360
87900,5.6,18,3512062838,3223667601,0,87449.6
87960,7.2,18,3513896836,3225854966,0,91648
88020,8.2,18,3515711690,3228071673,0,75264
88080,4.25,18,3517582855,3230256791,0,54681.6
88140,6.6,18,3519378900,3232390258,0,90282.66667
88200,6.6,18,3521211390,3234632745,0,155545.6
88260,9.4,18,3523050822,3236818126,0,108288
88320,8.25,18,3524877504,3239032677,0,55808
88380,11,18,3526768153,3241276522,0,62976
88440,6.6,18,3528590680,3243481513,0,60620.8
88500,7.6,18,3530448897,3245754300,0,84565.33333
88560,5.6,18,3532263514,3247868382,0,97280
88620,7,18,3534132828,3250060181,0,61747.2
88680,6,18,3535949195,3252205195,0,123477.3333
88740,6.4,18,3537760510,3254383422,0,66560
88800,6.4,18,3539648001,3256635289,0,81834.66667
88860,4.5,18,3541498281,3258861967,0,67481.6
88920,6.4,18,3543328367,3261071207,0,120490.6667
88980,6.4,18,3545146100,3263228648,0,52019.2
89040,8.25,18,3546946193,3265356051,0,55296
89100,8.75,18,3548835643,3267657124,0,92876.8
89160,7.2,18,3550719223,3269876540,0,77994.66667
89220,8,18,3552554648,3272079380,0,123801.6
89280,6.6,18,3554332495,3274204562,0,69529.6
89340,8,18,3556163351,3276391400,0,172117.3333
89400,7,18,3558013830,3278589813,0,73830.4
89460,5,18,3559865666,3280855425,0,125269.3333
89520,7.8,18,3561725637,3283088716,0,59187.2
89580,7.6,18,3563528223,3285247402,0,119722.6667
89640,5.25,18,3565318733,3287383336,0,108953.6
89700,8.8,18,3567213991,3289617003,0,136874.6667
89760,5.4,18,3569026926,3291750581,0,72396.8
89820,9.4,18,3570830221,3293916540,0,123050.6667
89880,6.4,18,3572679827,3296120269,0,76595.2
89940,7.5,18,3574512936,3298344435,0,70553.6
90000,6.6,18,3576347753,3300558778,0,78933.33333
90060,6.8,18,3578228338,3302855499,0,125542.4
90120,8.2,18,3580036822,3305026047,0,114090.6667
90180,5.8,18,3581798823,3307150460,0,53964.8
90240,6,18,3583606069,3309289779,0,82773.33333
90300,6.4,18,3585447704,3311522677,0,67379.2
90360,5.2,18,3587272141,3313728771,0,89173.33333
90420,7.2,18,3589152532,3316023207,0,111104
90480,4.75,18,3590916798,3318104539,0,83626.66667
90540,4.4,18,3592666777,3320131458,0,65740.8
90600,6.2,18,3594515665,3322289725,0,84787.2
90660,4.6,18,3596345673,3324495903,0,75861.33333
90720,8.8,18,3598150950,3326667159,0,83558.4
90780,6,18,3600000008,3328914832,0,72960
90840,7.8,18,3601796553,3331125305,0,77004.8
90900,7,18,3603659959,3333403280,0,135253.3333
90960,6.2,18,3605509786,3335637281,0,74854.4
91020,13.5,18,3607332062,3337826191,0,156245.3333
91080,8.4,18,3609093976,3339916639,0,67174.4
91140,7,18,3610909345,3342081993,0,118186.6667
91200,5.4,18,3612768885,3344320549,0,80076.8
91260,5,18,3614602897,3346554393,0,131788.8
91320,4.2,18,3616496738,3348814340,0,118613.3333
91380,5.2,18,3618250059,3350824492,0,162713.6
91440,6,18,3620028040,3352916245,0,57344
91500,5,18,3621904847,3355151129,0,187289.6
91560,6.75,18,3623796288,3357407086,0,74581.33333
91620,5.6,18,3625673491,3359659015,0,151244.8
91680,6.2,18,3627527204,3361930595,0,67413.33333
91740,6.8,18,3629354471,3364154992,0,77824
91800,6,18,3631211087,3366350863,0,87756.8
91860,9.4,18,3633099647,3368581268,0,127317.3333
91920,7.6,18,3634933692,3370785117,0,79155.2
91980,5.8,18,3636782660,3373030174,0,54954.66667
92040,5.6,18,3638620396,3375246811,0,72704
92100,5,18,3640475583,3377494994,0,56149.33333
92160,5.8,18,3642297842,3379721377,0,66355.2
92220,6,18,3644160811,3381988228,0,108970.6667
92280,6.8,18,3645976849,3384173721,0,83865.6
92340,5.5,18,3647764726,3386331067,0,118954.6667
92400,5.6,18,3649666035,3388633035,0,69632
92460,6.2,18,3651489659,3390854141,0,68198.4
92520,6.2,18,3653304791,3393047020,0,82773.33333
92580,6.4,18,3655115551,3395105008,0,70348.8
