Time,cpu_util_percent,mem_util_percent,net_in,net_out,disk_usage_percent
1603824960,17.83259731,87.56402035,2366147,125949907,0.001666444
1603825020,17.54833466,87.56315774,1921782,124380785,0.00166675
1603825080,17.33285786,87.56340203,1641559.5,111930372,0.003333278
1603825140,17.64483726,87.56290585,8968309.5,125302795,0.003333167
1603825200,19.27239101,87.56427934,35374799.5,134108547,0.001666472
1603825260,19.06109788,87.55781631,19381629.5,130520930,0.001667167
1603825320,18.35076682,87.55782746,5548068.5,110125842,0
1603825380,17.70847636,87.56195403,22923411.5,93095606.5,0
1603825440,18.08057039,87.56087246,4873052,115505052,0
1603825500,18.24209636,87.56122623,3814361,106743525.5,0
1603825560,18.0798069,87.56143707,26006198,123421339,0.001666056
1603825620,17.4973623,87.56250241,8565134,110591956,0.001667222
1603825680,18.03192194,87.39599369,1260760.5,96501046.5,0.003333056
1603825740,17.61158699,87.22386174,2001205,81734186.5,0.115017253
1603825800,17.25821368,87.2238288,2055574.5,77266848.5,0.008333194
1603825860,16.85165531,87.21935404,2500686,59246347,0.003333278
1603825920,17.50204416,87.22008539,2956695.5,54648971.5,0.001666444
1603825980,17.21734246,87.22057803,1954598,60089905.5,0.005001
1603826040,17.36682698,87.2209105,2323155,56149823,0
1603826100,18.62054229,87.2211259,2572833,109267717,0
1603826160,17.91724229,87.21750616,2916075.5,92391732,0
1603826220,17.11344317,87.22516226,1440773,100236210.5,0.001667111
1603826280,16.94029446,87.22550588,1503477.5,99500435.5,0.001666389
1603826340,16.64223884,87.22645415,1282491.5,70771620,0
1603826400,16.90673662,87.23396074,902223.5,54247404,0.001666917
1603826460,17.66462989,87.23314222,33119568,58469446.5,0.003333278
1603826520,17.4923052,87.23358974,1758694,67853004.5,0
1603826580,16.96644415,87.23734734,2509316,53972276,0.003333056
1603826640,17.30555945,87.23652071,1644709,58033504.5,0.001666472
1603826700,17.41442744,87.23832856,867644,63967025.5,0
1603826760,16.86116509,87.22421449,915850.5,53504523,0.001666528
1603826820,16.65383132,87.22414506,864664,55553837,0
