sn,aid,id,cluster_id,tag,host_name,az,data_center,rack,machine,service_type,host_ip,state,error_count,created_time,update_time,status,rack_id,host_group_id,disabled_app_id,reserved,is_dpdk,xc_group,dh_id,cpu_model,data_ip,snic_ip,snic_data_ip,snic_host_name,aid,id,cluster_id,host_id,vcpus,memory,disk,vcpus_used,memory_used,disk_used,vcpus_reserved,vcpus_reserved_info,memory_reserved,disk_reserved,cpu_mode,cpualloc_ratio,run_vms,created_time,update_time,status,version,gpu_card,disk_count,gpu_card_ratio,gpu_card_used,disk_count_used,share_vms,share_vcpus,mix_mode,memory_ratio
"31","29999","5860","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-167-97S3HP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.167","Enable","1","2018-12-26 11:52:45","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.167","","","","29999","5860","cluster-general-prod-bj02","5860","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:45","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"32","30004","5865","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-168-95S7HP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.168","Enable","1","2018-12-26 11:52:51","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.168","","","","30004","5865","cluster-general-prod-bj02","5865","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:51","2020-12-03 19:39:00","1","8","0","0","1","0","0","0","0","0","1"
"33","29997","5858","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-169-1SHPXP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.169","Enable","1","2018-12-26 11:52:43","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.169","","","","29997","5858","cluster-general-prod-bj02","5858","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:43","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"34","29993","5852","cluster-general-prod-bj02","service-check=service-check-success","A01-R22-I15-171-1SMNXP2.JCLOUD.COM","prod_bj02","","MD6-H-14","general_2","kvm,hyper","10.211.15.171","Enable","1","2018-12-26 11:52:38","2020-11-19 00:50:44","1","816","601","","0","1","true","","","10.212.15.171","","","","29993","5852","cluster-general-prod-bj02","5852","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 11:52:38","2020-12-03 19:39:00","1","6","0","0","1","0","0","0","0","0","1"
"35","30112","5855","cluster-general-prod-bj02","","A01-R22-I15-66-1SLJXP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.66","Enable","1","2018-12-26 11:52:41","2020-12-16 12:07:40","1","819","605","","0","1","true","","","10.212.15.66","","","","30112","5855","cluster-general-prod-bj02","5855","80","393216","1945","45","290816","0","6","0,1,8,10,48,50","98304","100","set","1","4","2018-12-26 11:52:41","2021-02-01 10:58:30","1","3336","0","0","1","0","0","0","0","0","1"
"36","30114","5873","cluster-general-prod-bj02","","A01-R22-I15-67-BJK5HP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.67","Enable","2","2018-12-26 12:08:21","2020-07-14 22:16:47","1","819","605","","0","1","true","","","10.212.15.67","","","","30114","5873","cluster-general-prod-bj02","5873","80","393216","1945","36","294912","0","6","0,1,8,10,48,50","98304","100","set","1","2","2018-12-26 12:08:21","2020-12-03 19:39:00","1","354","0","0","1","0","0","0","0","0","1"
"37","30116","5879","cluster-general-prod-bj02","","A01-R22-I15-68-1RQMXP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.68","Enable","4","2018-12-26 12:08:26","2020-07-14 22:16:47","1","819","605","","0","1","true","","","10.212.15.68","","","","30116","5879","cluster-general-prod-bj02","5879","80","393216","1945","40","143360","0","6","0,1,8,10,48,50","98304","100","set","1","6","2018-12-26 12:08:26","2021-01-22 20:34:57","1","1240","0","0","1","0","0","0","0","0","1"
"38","30117","5880","cluster-general-prod-bj02","","A01-R22-I15-69-BHP2HP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.69","Enable","3","2018-12-26 12:08:30","2020-08-04 01:38:32","1","819","605","","0","1","true","","","10.212.15.69","","","","30117","5880","cluster-general-prod-bj02","5880","80","393216","1945","74","278528","0","6","0,1,8,10,48,50","98304","100","set","1","10","2018-12-26 12:08:30","2021-01-30 20:25:44","1","10198","0","0","1","0","0","0","0","0","1"
"39","30119","5884","cluster-general-prod-bj02","","A01-R22-I15-70-1SCHXP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.70","Enable","2","2018-12-26 12:08:37","2020-08-06 02:35:35","1","819","605","","0","1","true","","","10.212.15.70","","","","30119","5884","cluster-general-prod-bj02","5884","80","393216","1945","41","294912","0","6","0,1,8,10,48,50","98304","100","set","1","6","2018-12-26 12:08:37","2021-02-01 10:55:52","1","6230","0","0","1","0","0","0","0","0","1"
"40","30113","5872","cluster-general-prod-bj02","","A01-R22-I15-71-1NVGXP2.JCLOUD.COM","prod_bj02","","MD6-H-11","general_2","kvm,hyper","10.211.15.71","Enable","1","2018-12-26 12:08:19","2020-07-14 22:16:47","1","819","605","","0","1","true","","","10.212.15.71","","","","30113","5872","cluster-general-prod-bj02","5872","80","393216","1945","0","0","0","6","0,1,8,10,48,50","98304","100","set","1","0","2018-12-26 12:08:19","2021-01-15 20:23:43","1","294","0","0","1","0","0","0","0","0","1"
